iter,best_objective
1,2139.546584288025
2,2139.546584288025
3,2139.546584288025
4,2139.546584288025
5,2139.546584288025
6,2139.546584288025
7,2139.546584288025
8,2139.546584288025
9,2139.546584288025
10,2139.546584288025
11,2139.546584288025
12,2139.546584288025
13,2139.546584288025
14,2139.546584288025
15,2139.546584288025
16,2139.546584288025
17,2139.546584288025
18,2139.546584288025
19,2139.546584288025
20,2139.546584288025
21,2139.546584288025
22,2139.546584288025
23,2139.546584288025
24,2139.546584288025
25,2139.546584288025
26,2139.546584288025
27,2139.546584288025
28,2139.546584288025
29,2139.546584288025
30,2139.546584288025
31,2139.546584288025
32,2139.546584288025
33,2139.546584288025
34,2139.546584288025
35,2139.546584288025
36,2139.546584288025
37,2139.546584288025
38,2139.546584288025
39,2139.546584288025
40,2139.546584288025
41,2139.546584288025
42,2139.546584288025
43,2139.546584288025
44,2139.546584288025
45,2139.546584288025
46,2139.546584288025
47,2139.546584288025
48,2139.546584288025
49,2139.546584288025
50,2139.546584288025
51,2139.546584288025
52,2139.546584288025
53,2139.546584288025
54,2139.546584288025
55,2139.546584288025
56,2139.546584288025
57,2139.546584288025
58,2139.546584288025
59,2139.546584288025
60,2139.546584288025
61,2139.546584288025
62,2139.546584288025
63,2139.546584288025
64,2139.546584288025
65,2139.546584288025
66,2139.546584288025
67,2139.546584288025
68,2139.546584288025
69,2139.546584288025
70,2139.546584288025
71,2139.546584288025
72,2139.546584288025
73,2139.546584288025
74,2139.546584288025
75,2139.546584288025
76,2139.546584288025
77,2139.546584288025
78,2139.546584288025
79,2139.546584288025
80,2139.546584288025
81,2139.546584288025
82,2139.546584288025
83,2139.546584288025
84,2139.546584288025
85,2139.546584288025
86,2139.546584288025
87,2139.546584288025
88,2139.546584288025
89,2139.546584288025
90,2139.546584288025
91,2139.546584288025
92,2139.546584288025
93,2139.546584288025
94,2139.546584288025
95,2139.546584288025
96,2139.546584288025
97,2139.546584288025
98,2139.546584288025
99,2139.546584288025
100,2139.546584288025
101,2139.546584288025
102,2139.546584288025
103,2139.546584288025
104,2139.546584288025
105,2139.546584288025
106,2139.546584288025
107,2139.546584288025
108,2139.546584288025
109,2139.546584288025
110,2139.546584288025
111,2139.546584288025
112,2139.546584288025
113,2139.546584288025
114,2139.546584288025
115,2139.546584288025
116,2139.546584288025
117,2139.546584288025
118,2139.546584288025
119,2139.546584288025
120,2139.546584288025
121,2139.546584288025
122,2139.546584288025
123,2139.546584288025
124,2139.546584288025
125,2139.546584288025
126,2139.546584288025
127,2139.546584288025
128,2139.546584288025
129,2139.546584288025
130,2139.546584288025
131,2139.546584288025
132,2139.546584288025
133,2139.546584288025
134,2139.546584288025
135,2139.546584288025
136,2139.546584288025
137,2139.546584288025
138,2139.546584288025
139,2139.546584288025
140,2139.546584288025
141,2139.546584288025
142,2139.546584288025
143,2139.546584288025
144,2139.546584288025
145,2139.546584288025
146,2139.546584288025
147,2139.546584288025
148,2139.546584288025
149,2139.546584288025
150,2139.546584288025
151,2139.546584288025
152,2139.546584288025
153,2139.546584288025
154,2139.546584288025
155,2139.546584288025
156,2139.546584288025
157,2139.546584288025
158,2139.546584288025
159,2139.546584288025
160,2139.546584288025
161,2139.546584288025
162,2139.546584288025
163,2139.546584288025
164,2139.546584288025
165,2139.546584288025
166,2139.546584288025
167,2139.546584288025
168,2139.546584288025
169,2139.546584288025
170,2139.546584288025
171,2139.546584288025
172,2139.546584288025
173,2139.546584288025
174,2139.546584288025
175,2139.546584288025
